Year,Herbivore Count
0,47
1,77
2,94
3,98
4,100
5,128
6,143
7,154
8,164
9,166
10,170
11,184
12,188
13,190
14,186
15,198
16,201
17,211
18,216
19,214
20,213
21,210
22,216
23,213
24,221
25,216
26,218
27,215
28,218
29,216
30,216
31,228
32,229
33,216
34,212
35,202
36,205
37,219
38,220
39,225
40,213
41,211
42,200
43,197
44,217
45,213
46,205
47,195
48,192
49,194
50,194
51,192
52,196
53,198
54,201
55,200
56,213
57,207
58,213
59,218
60,215
61,207
62,213
63,206
64,211
65,204
66,212
67,207
68,208
69,206
70,207
71,209
72,199
73,203
74,212
75,210
76,210
77,214
78,205
79,201
80,199
81,207
82,210
83,212
84,211
85,197
86,201
87,197
88,199
89,198
90,195
91,201
92,202
93,201
94,207
95,198
96,195
97,198
98,205
99,200
100,201
101,188
102,191
103,187
104,185
105,192
106,196
107,201
108,202
109,198
110,184
111,187
112,180
113,189
114,196
115,199
116,198
117,194
118,195
119,194
120,199
121,192
122,191
123,192
124,206
125,213
126,206
127,208
128,211
129,209
130,198
131,194
132,199
133,201
134,197
135,198
136,195
137,198
138,197
139,206
140,213
141,215
142,214
143,207
144,209
145,207
146,202
147,210
148,210
149,201
150,214
151,202
152,209
153,214
154,203
155,205
156,206
157,205
158,208
159,198
160,194
161,210
162,202
163,198
164,209
165,217
166,219
167,216
168,207
169,200
170,209
171,203
172,198
173,202
174,197
175,202
176,209
177,215
178,207
179,205
180,200
181,199
182,190
183,186
184,185
185,177
186,179
187,188
188,196
189,202
190,198
191,198
192,199
193,202
194,202
195,212
196,203
197,202
198,201
199,195
200,195
201,191
202,182
203,188
204,196
205,202
206,212
207,211
208,213
209,214
210,207
211,206
212,207
213,213
214,211
215,206
216,207
217,201
218,206
219,213
220,209
221,215
222,209
223,197
224,197
225,198
226,197
227,195
228,190
229,196
230,185
231,179
232,184
233,187
234,190
235,200
236,195
237,186
238,187
239,189
240,193
241,191
242,202
243,198
244,191
245,192
246,199
247,198
248,195
249,197
250,191
